"Image type","Feature Class","Feature Name","103: RTSTRUCT: TN_mammella_segm_segment_t_mammella","103: RTSTRUCT: TN_mammella_segm_segment_n_ascella"
"diagnostics","Versions","PyRadiomics","v3.1.0","v3.1.0"
"diagnostics","Versions","Numpy","1.23.4","1.23.4"
"diagnostics","Versions","SimpleITK","2.2.0rc2.dev368","2.2.0rc2.dev368"
"diagnostics","Versions","PyWavelet","1.4.1","1.4.1"
"diagnostics","Versions","Python","3.9.10","3.9.10"
"diagnostics","Configuration","Settings","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 25.0, 'symmetricalGLCM': True, 'correctMask': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 25.0, 'symmetricalGLCM': True, 'correctMask': True}"
"diagnostics","Configuration","EnabledImageTypes","{'Original': {}, 'Wavelet': {}}","{'Original': {}, 'Wavelet': {}}"
"diagnostics","Image-original","Hash","026252db7d641f567cb1b79e985c3606be457cb1","026252db7d641f567cb1b79e985c3606be457cb1"
"diagnostics","Image-original","Dimensionality","3D","3D"
"diagnostics","Image-original","Spacing","(0.976562, 0.976562, 3.27)","(0.976562, 0.976562, 3.27)"
"diagnostics","Image-original","Size","(512, 512, 251)","(512, 512, 251)"
"diagnostics","Image-original","Mean","-1199.2614822995615","-1199.2614822995615"
"diagnostics","Image-original","Minimum","-3024.0","-3024.0"
"diagnostics","Image-original","Maximum","3071.0","3071.0"
"diagnostics","Mask-original","Hash","b50fcfc5e17fa158ed359d547bc00747d2f26ef1","6fb2b20c866b10e8f430bf916fcd8d994c49b039"
"diagnostics","Mask-original","Spacing","(0.976562, 0.976562, 3.27)","(0.976562, 0.976562, 3.27)"
"diagnostics","Mask-original","Size","(512, 512, 251)","(512, 512, 251)"
"diagnostics","Mask-original","BoundingBox","(282, 206, 179, 35, 30, 10)","(343, 259, 188, 13, 22, 8)"
"diagnostics","Mask-original","VoxelNum","2761","618"
"diagnostics","Mask-original","VolumeNum","1","1"
"diagnostics","Mask-original","CenterOfMassIndex","(300.0383918869975, 221.3542194856936, 183.71785584932996)","(348.13754045307445, 268.4757281553398, 191.19417475728156)"
"diagnostics","Mask-original","CenterOfMass","(43.00609205795004, -33.83388071061208, -203.24261137269082)","(89.97789277993527, 12.183194038834984, -178.79504854368918)"
"original","shape","Elongation","0.6146654303484129","0.3981372791537957"
"original","shape","Flatness","0.47554518316089206","0.3283349429984461"
"original","shape","LeastAxisLength","17.376294843267452","10.336727576237548"
"original","shape","MajorAxisLength","36.53973472671786","31.48226467106935"
"original","shape","Maximum2DDiameterColumn","38.86911470222269","20.776775342972645"
"original","shape","Maximum2DDiameterRow","32.70109751688472","31.517229607144344"
"original","shape","Maximum2DDiameterSlice","29.556129301671156","18.42573496456692"
"original","shape","Maximum3DDiameter","42.583077101932034","31.532355374270725"
"original","shape","MeshVolume","8509.37925635956","1863.9605031834801"
"original","shape","MinorAxisLength","22.45971177061488","12.534263197739218"
"original","shape","Sphericity","0.6417347963809688","0.607876155062818"
"original","shape","SurfaceArea","3140.9459008934236","1204.9253840106646"
"original","shape","SurfaceVolumeRatio","0.3691157493710261","0.6464328948777393"
"original","shape","VoxelVolume","8610.21113858136","1927.240305557146"
"original","firstorder","10Percentile","-58.0","-99.0"
